phi_max,n_tracks,sigma_scatt,sigma_scatt_mrad,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,10,5e-05,0.05,0.00021319005605327846,0,30,2970,30,0,1.0,0.0
0.02,10,5e-05,0.05,0.00021319005605327846,1,30,2970,30,0,1.0,0.0
0.02,10,5e-05,0.05,0.00021319005605327846,2,30,2970,30,0,1.0,0.0
0.02,10,5e-05,0.05,0.00021319005605327846,3,30,2970,30,0,1.0,0.0
0.02,10,5e-05,0.05,0.00021319005605327846,4,30,2970,30,0,1.0,0.0
0.02,10,5e-05,0.05,0.00021319005605327846,5,30,2970,30,0,1.0,0.0
0.02,10,5e-05,0.05,0.00021319005605327846,6,30,2970,30,0,1.0,0.0
0.02,10,5e-05,0.05,0.00021319005605327846,7,30,2970,30,0,1.0,0.0
0.02,10,5e-05,0.05,0.00021319005605327846,8,30,2970,30,0,1.0,0.0
0.02,10,5e-05,0.05,0.00021319005605327846,9,30,2970,30,0,1.0,0.0
0.02,10,0.0001,0.1,0.0004247940677551889,0,30,2970,30,0,1.0,0.0
0.02,10,0.0001,0.1,0.0004247940677551889,1,30,2970,30,0,1.0,0.0
0.02,10,0.0001,0.1,0.0004247940677551889,2,30,2970,30,0,1.0,0.0
0.02,10,0.0001,0.1,0.0004247940677551889,3,30,2970,30,0,1.0,0.0
0.02,10,0.0001,0.1,0.0004247940677551889,4,30,2970,30,0,1.0,0.0
0.02,10,0.0001,0.1,0.0004247940677551889,5,30,2970,30,0,1.0,0.0
0.02,10,0.0001,0.1,0.0004247940677551889,6,30,2970,30,0,1.0,0.0
0.02,10,0.0001,0.1,0.0004247940677551889,7,30,2970,30,0,1.0,0.0
0.02,10,0.0001,0.1,0.0004247940677551889,8,30,2970,30,0,1.0,0.0
0.02,10,0.0001,0.1,0.0004247940677551889,9,30,2970,30,0,1.0,0.0
0.02,10,0.0002,0.2,0.0008487932610477066,0,30,2970,30,0,1.0,0.0
0.02,10,0.0002,0.2,0.0008487932610477066,1,30,2970,30,1,1.0,0.03225806451612903
0.02,10,0.0002,0.2,0.0008487932610477066,2,30,2970,30,0,1.0,0.0
